#
#  chlamycyc 8.0 Reactions link table generated on Fri Jun 29, 2018
#
3.2.1.58-RXN	EC-3.2.1.58
H2PTEROATESYNTH-RXN	EC-2.5.1.15
ADCLY-RXN	EC-4.1.3.38
ALCOHOL-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.84
RXN-12683	EC-1.14.13
RXNIO2-12	EC-3.1.1.4
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13
RXN-12413	EC-1.3.99.30
TRANS-RXN-186	
RXN-15212	EC-3.1.4.12
RXN-13162	EC-2.5.1.21
RXN-11968	EC-1.1.1.347
PHOSACETYLGLUCOSAMINEMUT-RXN	EC-5.4.2.3
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1
RXN-11268	EC-2.1.1.165
HISTAMINOTRANS-RXN	EC-2.6.1.9
3-DEHYDROQUINATE-SYNTHASE-RXN	EC-4.2.3.4
AIRCARBOXY-RXN	EC-4.1.1.21
RXN-8772	EC-1.1.1.21
SUCROSE-PHOSPHATE-SYNTHASE-RXN	EC-2.4.1.14
RXN-12647	
RXN-8024	
RXN-15125	
3.6.3.17-RXN	EC-3.6.3.17
RXN-14014	EC-1.17.1.8
RXN-10959	EC-3.1.3.66
RXN-12116	EC-3.1.4.54
DEHYDOGLUCONOKINASE-RXN	EC-2.7.1.13
3.1.3.56-RXN	EC-3.1.3.56
RXN-1226	EC-2.4.1.184
RXNARA-8002	
RXN-9358	EC-2.5.1.74
RXN-4305	EC-2.5.1.112
RXN-10972	EC-2.7.4.24
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
ACYLCOASYN-RXN	EC-6.2.1.3
THIOESTER-RXN	EC-3.1.2.2
RXN-5470	EC-2.4.1.267
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN	EC-4.2.1.91
RXN-13158	EC-1.1.1.85
RXN-7162	EC-2.7.1.151
RXN-10763	
RXN3O-328	EC-2.3.1.24
RXN-8184	EC-1.14.99
RXN-11341	EC-1.14.19.17
URKI-RXN	EC-2.7.1.48
FAD-PYROPHOSPHATASE-RXN	EC-3.6.1.18
RXN-7836	EC-5.3.3.8
RXN-8629	EC-1.8.1.4
RXN-12434	EC-3.1.1
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
ADENYLYLSULFATE-REDUCTASE-RXN	EC-1.8.99.2
RXN-9644	EC-6.2.1.3
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
RXN66-18	EC-1.1.1.170
R342-RXN	EC-6.6.1.2
RXN-13564	
RXN-12816	EC-3.6.1.58
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.9
1.2.1.27-RXN	EC-1.2.1.27
1.1.1.255-RXN	EC-1.1.1.255
RXN-11974	
3.2.1.96-RXN	EC-3.2.1.96
HYDROXYLYSINE-KINASE-RXN	EC-2.7.1.81
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-3522	EC-1.6.5
RXN-10450	EC-1.14.13.228
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
RXN-12587	EC-2.8.1.7
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RXN-14046	EC-3.1.3.74
2.6.1.80-RXN	EC-2.6.1.80
RXN-7796	EC-1.14.18.7
RXN0-5073	EC-3.6.1
THYMIDINE-TRIPHOSPHATASE-RXN	EC-3.6.1.39
RXN-11484	EC-2.3.1.47
HISTPRATPHYD-RXN	EC-3.6.1.31
RXN-10698	EC-1.1.1.35
RXN66-305	
RXN-4317	
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
RXN-13579	
DIAMINOPIMEPIM-RXN	EC-5.1.1.7
RXN-14531	EC-2.8.4.5
HOMOCYSMETB12-RXN	EC-2.1.1.13
RXN-9721	EC-2.4.1.184
NUCLEOSIDE-TRIPHOSPHATASE-RXN	EC-3.6.1.15
RXN-11947	EC-1.14.13
RXN-11002	EC-1.1.1
2.7.1.151-RXN	EC-2.7.1.151
3.2.1.68-RXN	EC-3.2.1.68
RXN-16044	EC-2.3.1.23
ALDHDEHYDROG-RXN	EC-1.2.1.3
RXN-15045	EC-2.3.1.15
RXN-14257	
2.1.1.140-RXN	EC-2.1.1.140
6.3.4.9-RXN	EC-6.3.4.9
HEXOKINASE-RXN	EC-2.7.1.1
ACETALD-DEHYDROG-RXN	EC-1.2.1.10
SPHINGANINE-KINASE-RXN	EC-2.7.1.91
PHOSMANMUT-RXN	EC-5.4.2.8
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXNQT-4377	EC-2.7.7
RXN-13306	EC-1.3.1.93
RXN-12203	EC-2.7.9.4
RXN-15046	EC-1.1.1.101
RXN-12533	EC-3.4.13
RXN-10701	EC-2.3.1.16
RXN-17853	EC-2.3.1.254
2.7.1.133-RXN	EC-2.7.1.159
2.1.1.114-RXN	EC-2.1.1.114
RXN-14201	EC-3.6.1.5
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	EC-2.1.2.5
RXN-7679	EC-1.17.7.2
3-OXOACYL-ACP-SYNTH-BASE-RXN	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
RXN-13489	EC-1.14.13
RXN66-28	EC-1.3.1.72
RXN-13191	EC-1.14.13.81
RXN0-7005	
RXN-13605	EC-3.1.1.93
PYRIMSYN3-RXN	EC-2.7.4.7
RXN-7244	
RXN-16592	
RXN-12862	
LEVANSUCRASE-RXN	EC-2.4.1.10
THIOREDOXIN-REDUCT-NADPH-RXN	EC-1.8.1.9
RXN0-7068	
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
ARYL-SULFOTRANSFERASE-RXN	EC-2.8.2.1
POLYAMINE-OXIDASE-RXN	EC-1.5.3.16
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
SIROHEME-FERROCHELAT-RXN	EC-4.99.1.4
3.1.2.21-RXN	EC-3.1.2.21
OXALATE-DECARBOXYLASE-RXN	EC-4.1.1.2
RXN-12680	EC-1.14.13.134
SERINE-C-PALMITOYLTRANSFERASE-RXN	EC-2.3.1.50
GTP-CYCLOHYDRO-I-RXN	EC-3.5.4.16
RXN-5469	EC-2.4.1.261
RXN-13336	EC-2.7.4
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
RXN0-5186	EC-3.1.3
RXN-16761	EC-2.4.99.18
RXN-13403	EC-2.1.1.107
RXN-7567	EC-4.2.1.84
RXN-14693	
RXN-8294	EC-1.14.19.23
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1
RXN-13142	EC-5.1.99.6
L-GULONOLACTONE-OXIDASE-RXN	
RXN-8306	EC-1.14.19.35
MALIC-NADP-RXN	EC-1.1.1.40
MYCOCEROSATE-SYNTHASE-RXN	EC-2.3.1.111
GDPKIN-RXN	EC-2.7.4.6
ALDEHYDE-REDUCTASE-RXN	EC-1.1.1.21
RXN-13303	EC-4.2.1.134
RXN1F-151	EC-5.5.1.19
RXN-12123	EC-2.4.1.173
TRANS-RXN4LZ-4	
AMPSYN-RXN	EC-4.3.2.2
RXN-7903	EC-1.14.19.2
TRANS-RXN4LZ-42	
RXN-14831	EC-2.1.1.288
RXN0-2201	
ADENYLATECYC-RXN	EC-4.6.1.1
RXN-9868	EC-3.1.1.45
RXN66-469	EC-6.2.1.3
RXN-11357	
RXN-14216	
1.3.7.5-RXN	EC-1.3.7.5
PYRIDOXAL-4-DEHYDROGENASE-RXN	EC-1.1.1.107
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
ALLOPHANATE-HYDROLASE-RXN	EC-3.5.1.54
UREASE-RXN	EC-3.5.1.5
TRANS-RXN4LZ-6845	EC-3.6.3.25
CYTOCHROME-B5-REDUCTASE-RXN	EC-1.6.2.2
4.3.1.17-RXN	EC-4.3.1.17
RXN-11963	EC-2.5.1.87
RXNN-404	EC-3.5.1.4
TRANS-RXN-29A	
RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN	EC-2.1.1.11
2.1.1.44-RXN	EC-2.1.1.44
GMP-SYN-NH3-RXN	
RXN-14569	EC-2.7.7.87
RXN-12279	EC-3.2.1.2
RXN-10811	
3.2.1.8-RXN	EC-3.2.1.8
RXN-11322	EC-4.3.3.6
RXN-11102	EC-3.1.3.80
RXN0-6451	
RXN-8022	
TRANS-RXN-229	
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	EC-1.1.1.286	EC-1.1.1.41
RXN-10841	EC-1.1.1.300
SELENOCYSTEINE-LYASE-RXN	EC-4.4.1.16
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
ALKAPHOSPHA-RXN	EC-3.1.3.1
RXN0-1147	EC-2.3.1.61
RXN-14728	EC-3.5.1.4
RXN0-5330	EC-1.6.5.9
RXN-8299	EC-1.14.19.35
RXN-18332	EC-5.1.3
RXN-9461	EC-2.4.2.39
RXN-9611	EC-2.1.1.315
RXN-12112	EC-1.7.1.14
RXN-16043	EC-2.3.1.23
RXN-15035	EC-3.1.1.5
4.1.2.42-RXN	EC-4.1.2.42
RXN-14367	EC-1.1.1
RXN-16425	
UROGENDECARBOX-RXN	EC-4.1.1.37
DURIDKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-12669	EC-1.3.3.6
RXN-8730	EC-3.1.3.56
RXN-12088	EC-3.2.1.22
TRYPTOPHAN-5-MONOOXYGENASE-RXN	EC-1.14.16.4
RXN-4313	EC-3.2.2
THREDEHYD-RXN	EC-4.3.1.19
RXN-7664	
RXN-14816	EC-5.1.3
RXN-14196	EC-2.7.2
RXN-8303	EC-1.14.19.35
1.2.1.9-RXN	EC-1.2.1.9
RXN-11377	
RXN-17856	EC-2.3.1.258
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
UREIDOGLYCOLATE-LYASE-RXN	EC-4.3.2.3
RXN-5284	
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
RXN-17858	EC-2.3.1.258
RXN0-5289	EC-1.1.1
PRODISULFREDUCT-A-RXN	EC-1.8.4
STEROL-ESTERASE-RXN	EC-3.1.1.13
RXN-7703	EC-3.1.3
RXN0-7083	
RXN-10949	EC-3.1.3.25
RIB5PISOM-RXN	EC-5.3.1.6
2.1.1.143-RXN	EC-2.1.1.143
RXN-7792	EC-2.3.1
RXN-14918	EC-2.1.1.95
RXN-13008	EC-2.3.1.86
RXN-17854	EC-2.3.1.256	EC-2.3.1.258
3.6.3.9-RXN	EC-3.6.3.9
RXN-10625	EC-1.3.1.83
PUTRESCINE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.53
RXN-11444	
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	EC-1.1.1.2
RXN-7948	EC-3.1.3.75
RXN-17857	EC-2.3.1.256
RXN-8632	
RXN-7711	EC-1.3.1.93
TRANS-RXN-323	
RXN-15067	EC-3.1.1.4
RXNQT-4148	
HISTOLDEHYD-RXN	
RXN-13857	EC-1.14.19.12
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	EC-4.1.1.39
OHBUTYRYL-COA-EPIM-RXN	EC-5.1.2.3
RXN-7904	EC-6.2.1.3
RXN-11046	EC-2.1.1.163
RXN-10981	
RXN0-1132	EC-1.8.1.4
2.7.7.60-RXN	EC-2.7.7.60
RXN-7569	EC-2.1.1.329
RXN-14195	EC-3.6.1.5
RXN-17851	EC-2.3.1.254
RXN0-5260	EC-1.1.5.3
R15-RXN	EC-2.6.1.88
2.5.1.39-RXN	EC-2.5.1.39
FUMARYLACETOACETASE-RXN	EC-3.7.1.2
RXN-7954	EC-2.8.2.33
RXN-11695	EC-4.6.1.15
RXN-17852	EC-2.3.1.254
GUANOSINE-DEAMINASE-RXN	EC-3.5.4.15
RXN-7253	EC-3.1.3.25
RXN0-6460	
CHORPYRLY-RXN	EC-4.1.3.40
RXN-18188	
RXN-10703	EC-1.1.1.35
RXN-17868	EC-2.3.1.258
PEPCARBOXYKIN-RXN	EC-4.1.1.49
RXN-527	EC-1.14.11.23
BILIRUBIN-OXIDASE-RXN	EC-1.3.3.5
RXN-14870	EC-2.1.1
RXN-1224	EC-2.4.1
TRANS-RXN-218	
FARNESOL-DEHYDROGENASE-RXN	EC-1.1.1.216
3.5.99.5-RXN	EC-3.5.99.5
RXN1F-66	EC-2.5.1.62
RXN-17867	EC-2.3.1.258
RXN-12520	EC-5.3.3
1.1.1.8-RXN	EC-1.1.1.8
UDPKIN-RXN	EC-2.7.4.6
RXN-11552	EC-5.4.99.30
RXN-12588	EC-2.8.1.7
RXN-5461	
PREPHENATE-TRANSAMINE-RXN	EC-2.6.1.79
RXN-18106	
PROPKIN-RXN	EC-2.7.2.15
3.6.3.2-RXN	EC-3.6.3.2
RXN-17869	EC-2.3.1.258
RXN-7978	
RXN1F-19	EC-4.2.1.92
RXN-8369	EC-1.14.99.35
ENZRXN-201-RXN	EC-1.1.1
RXN-17871	EC-2.3.1.258
RXN-13417	
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
3.2.1.3-RXN	EC-3.2.1.3
RIBOPHOSPHAT-RXN	EC-3.1.3.104
2KETO-3METHYLVALERATE-RXN	EC-1.2.1
RXN-13492	
ASPAMINOTRANS-RXN	EC-2.6.1.1
THRESYN-RXN	EC-4.2.3.1
RXN-14214	
ETHYL-RXN	EC-1.14.17.4
RXN-12521	EC-1.3.1.34
2.7.1.68-RXN	EC-2.7.1.68
RXN0-2382	EC-4.2.1.122
3.6.3.31-RXN	EC-3.6.3.31
CERAMIDASE-RXN	EC-3.5.1.23
RXN-8308	EC-1.14.19.23
RXN-4303	EC-2.5.1.112
RXN-10954	EC-3.1.3.25
ABC-7-RXN	EC-3.6.3.25
RXN0-1021	EC-3.6.5.1
RXN-7793	EC-2.4.1.80
RXN-13295	EC-2.3.1.199
N-ACYLNEURAMINATE-9-PHOSPHATASE-RXN	EC-3.1.3.29
RXN-1641	EC-2.3.1.158
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-11849	EC-1.14.13.182
3.6.3.15-RXN	EC-3.6.3.15
RXN-8364	EC-1.14.19.35
2.7.4.24-RXN	EC-2.7.4.24
RIBULP3EPIM-RXN	EC-5.1.3.1
GCVMULTI-RXN	
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
GLYOXI-RXN	EC-4.4.1.5
RXN-7678	EC-1.1.1.294
RXN-12433	EC-3.1.1
ETHANOLAMINE-PHOSPHATE-PHOSPHO-LYASE-RXN	EC-4.2.3.2
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN	EC-1.14.11.16
RXN-10659	EC-1.1.1.100
3.1.1.69-RXN	EC-3.5.1.89
3.6.3.16-RXN	EC-3.6.3.16
RXN-17889	EC-2.3.2.8
FORMAMIDASE-RXN	EC-3.5.1.49
ISOCITDEH-RXN	EC-1.1.1.42
RXNQT-4143	EC-2.3.2.2
PORPHOBILSYNTH-RXN	EC-4.2.1.24
RXN-17007	EC-1.6.5.12
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
PYRIDOXINE-4-DEHYDROGENASE-RXN	EC-1.1.1.65
RXN-6762	EC-2.3.1.224
RXN-11957	EC-1.14.13
RXN-10979	EC-2.7.4.24
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	EC-3.5.1.53
RXN66-478	EC-1.1.1.1
2.4.1.82-RXN	EC-2.4.1.82
ACONITATEDEHYDR-RXN	
3.6.4.8-RXN	EC-3.6.4.8
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
RXN3DJ-11417	EC-2.7.1.91
ADENYLYLSULFATASE-RXN	EC-3.6.2.1
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
HYDROXYPYRUVATE-REDUCTASE-RXN	EC-1.1.1.81
RXN-16380	EC-6.2.1.3
5-NUCLEOTID-RXN	EC-3.1.3.5
RXN-14455	EC-3.6.3.54
RXN-8495	EC-1.13.11.58
RXN-11486	EC-2.5.1.85
RXN-15435	EC-2.1.1
RXN-7897	EC-1.14.99
SPERMINE-SYNTHASE-RXN	EC-2.5.1.22
2.7.9.3-RXN	EC-2.7.9.3
GUANYL-KIN-RXN	EC-2.7.4.8
RXN-13183	EC-1.3.2.3
RXN1F-357	EC-1.14.15.7
RXN-6641	EC-3.4.19.9
RXN-9935	EC-2.4.1.246
RXN-18932	EC-1.8.3.5
RXN-4310	
RXN-11453	EC-1.2.98.1
DCTP-PYROPHOSPHATASE-RXN	EC-3.6.1.9	EC-3.6.1.12	EC-3.6.1.65
RXN-11213	EC-1.2.1.27
RXN-13685	EC-1.18.1.6
NADH-DEHYDROGENASE-RXN	EC-1.6.99.3
RXN-7953	EC-2.8.2.33
2.1.1.79-RXN	EC-2.1.1.79
RXN-14685	
2.1.1.60-RXN	EC-2.1.1.60
1.10.2.2-RXN	EC-1.10.2.2
RXN-9614	EC-3.6.1.53
RXN-4308	
2.8.2.23-RXN	EC-2.8.2.23
RXN-9246	EC-1.1.1.319
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	EC-2.1.1.104
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	EC-3.6.1.29
RXN-12570	EC-1.1.1.35
RXN-14899	EC-3.1.1
UROGENIIISYN-RXN	EC-4.2.1.75
DUDPKIN-RXN	EC-2.7.4.6
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EC-2.1.1.201
RXN-15208	EC-2.3.1.136
RXN-12242	EC-1.3.5.6
PYRIDOXKIN-RXN	EC-2.7.1.35
RXN-11370	
RXN-9615	
RXN-11316	EC-1.1.2.6
RXN-11371	EC-2.5.1.108
RXN-14047	EC-4.2.1.3
RXN-13039	
RXN-9548	EC-3.1.2.14
RXN-12540	
RXN-11696	EC-1.3.1.74
RXN-11410	
RXN-7245	
GLUCONOKIN-RXN	EC-2.7.1.12
RXN-8089	EC-1.2.3.9
3.4.13.5-RXN	EC-3.4.13.5
HEPARITIN-SULFOTRANSFERASE-RXN	EC-2.8.2.8
RXN-13895	
RXN-8310	EC-1.14.19.35
RXN0-5199	EC-2.4.2.15
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXNIO2-11	EC-3.1.4.4
RXN-1781	EC-2.4.1.99
RXN3O-130	EC-1.14.13.70
RXN-9985	EC-3.2.1.26
RXN-12876	
RXN-7242	
ADENODEAMIN-RXN	EC-3.5.4.4
3.2.1.82-RXN	EC-3.2.1.82
3.6.3.8-RXN	EC-3.6.3.8
RXN-13779	EC-1.1.1.370
RXN-14437	EC-2.1.1.44
RXN-12384	EC-3.2.1.2
3.1.3.46-RXN	EC-3.1.3.46
RXN-8342	EC-2.8.1.12
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
+-NEOMENTHOL-DEHYDROGENASE-RXN	EC-1.1.1.208
RXN-14636	EC-4.2.1.145
RXN-13296	EC-2.3.1.199
RXN-9452	EC-2.1.1.38
RXN-14371	EC-2.4.1.18
CDPKIN-RXN	EC-2.7.4.6
3.2.1.25-RXN	EC-3.2.1.25
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
RXN-7247	
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RXN-13939	
ACETOLACTSYN-RXN	EC-2.2.1.6
BTUR2-RXN	EC-2.5.1.17
RXN-11750	EC-4.2.1.134
RXN-14872	
RXN-16998	
RXN-14869	EC-2.1.1
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN0-2921	EC-6.3.2.17
CYTIDEAM-RXN	EC-3.5.4.5
RXN-6642	EC-3.4.11.2
CDPREDUCT-RXN	EC-1.17.4.1
GLUC1PADENYLTRANS-RXN	EC-2.7.7.27
THYMIDYLATESYN-RXN	EC-2.1.1.45
RXN-18926	
CERAMIDE-KINASE-RXN	EC-2.7.1.138
RXN-14368	EC-1.1.1
2.3.1.67-RXN	EC-2.3.1.67
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3
RXN-7609	EC-3.1.3.5
PGPPHOSPHA-RXN	EC-3.1.3.27
RXN-18929	
RXN-1727	EC-1.14.19.35
D-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.3
RXN-12611	EC-2.5.1.3
RXN-18918	
RXN-9492	
UROPORIIIMETHYLTRANSA-RXN	
GCVT-RXN	EC-2.1.2.10
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-11680	EC-1.14.19.47
RXN-12360	EC-6.2.1
GDPREDUCT-RXN	EC-1.17.4.1
LACTALDEHYDE-OXI-RXN	
RXN-12473	EC-2.8.1.11
PROTOPORGENOXI-RXN	EC-1.3.3.4
RXN1G-287	EC-1.1.1
--MENTHOL-DEHYDROGENASE-RXN	EC-1.1.1.207
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-12297	EC-1.1.1
RXN-14900	EC-3.3.2
RXN-13294	EC-2.3.1.199
RXN-7893	EC-1.14.99
TRIOKINASE-RXN	EC-2.7.1.28
RXN66-11	
RXN-8091	EC-1.2.3.9
DCDPKIN-RXN	EC-2.7.4.6
RXN-11950	EC-1.1.1
RXN-7666	
RXN4FS-11	EC-1.3.2
2.1.1.17-RXN	EC-2.1.1.17
RXN-13297	EC-2.3.1.199
RXN-18911	EC-3.2.1.113
RXN-5283	
RXN-7204	
PROSTAGLANDIN-E2-9-REDUCTASE-RXN	EC-1.1.1.189
RXN-8974	EC-1.1.1.298
RXN-11891	EC-3.2.1.169
RXN-8023	
RXN-7677	
RXN-18922	
RXN-11667	EC-4.2.1.150
RXN-8999	EC-2.5.1.31
DIHYDROPICRED-RXN	EC-1.3.1.26
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21
3.2.1.78-RXN	EC-3.2.1.78
RXN-12682	EC-1.14.13.134
PPENTOMUT-RXN	EC-5.4.2.7
RXN-18919	
RXN-13302	EC-4.2.1.134
RXN-11383	
RXN-9598	EC-1.4.3.4
RXN-7659	
RXN-18920	
CARBPSYN-RXN	EC-6.3.5.5
HISTIDINE-DECARBOXYLASE-RXN	EC-4.1.1.22
RXN1G-163	EC-1.1.1
13-BETA-GLUCAN-SYNTHASE-RXN	EC-2.4.1.34
RXN-18921	
RXN-15065	EC-3.1.1.4
RXN-14516	EC-4.1.3.44
RXN0-2161	EC-6.1.1.11
RXN-7895	EC-1.14.99
PSERTRANSAMPYR-RXN	EC-2.6.1.52
INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	EC-1.2.3.7
RXN-8444	EC-3.2.2
RXN4FS-8	EC-2.7.7
RXN0-947	EC-2.3.1.181
RXN-5641	EC-4.1.1
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
RXN-12518	EC-1.3.3.6
RXN-1824	EC-3.2.1.41
RXN-18051	EC-2.3.1.111
RXN-13491	EC-1.14.19
UREIDOGLYCOLATE-HYDROLASE-RXN	EC-3.5.1.116
SARCOSINE-DEHYDROGENASE-RXN	EC-1.5.8.3
RXN-6161	EC-4.1.1.1
TRANS-RXN4LZ-7041	
RXNQT-4176	EC-4.2.1.170
RXN-7801	EC-2.4.1
RXN-12448	EC-1.1.1.1
RXN-12278	EC-3.2.1.2
RXN-14912	EC-3.1.1.26
CARVEOL-DEHYDROGENASE-RXN	EC-1.1.1.243
GLYCOLATE-REDUCTASE-RXN	EC-1.1.1.26
RXN-12673	EC-1.1.1.317
R223-RXN	EC-6.2.1.3
RXN-16593	
RXN-1841	EC-3.2.1.80
RXN-14228	EC-2.7.4.6
1.14.11.2-RXN	EC-1.14.11.2
RXNQT-4334	EC-1.14.13.237
1.5.4.1-RXN	EC-1.5.4.1
RXN-9023	EC-2.4.1.25
RXN-12217	EC-3.1.3
RXNQT-4301	
AMP-DEAMINASE-RXN	EC-3.5.4.17	EC-3.5.4.6
RXN4FS-10	EC-1.1.1
RXN-8295	EC-1.14.19.35
QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN	EC-2.4.2.29
RXN-13724	EC-1.3.1.96
PHOSPHASERDECARB-RXN	EC-4.1.1.65
ARGININE-DEIMINASE-RXN	EC-3.5.3.6
GALPMUT-RXN	EC-5.4.99.9
IMP-DEHYDROG-RXN	EC-1.1.1.205
TRANS-RXN-228	
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
RXN66-304	
PLASMALOGEN-SYNTHASE-RXN	EC-2.3.1.25
L-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.2
RXN-8509	
5.1.1.17-RXN	EC-5.1.1.17
RXN-12243	
RXNQT-4338	EC-1.14.13.237
RXN-13307	EC-1.3.1.93
RXN-14518	EC-2.5.1.114
RXN-15036	EC-2.3.1.23
GLYOXIII-RXN	EC-4.2.1.130
MMUM-RXN	EC-2.1.1.10
ASPARTATEKIN-RXN	EC-2.7.2.4
RXN-12415	EC-2.4.2.39
RXN-12894	EC-3.5.1.110
RXN-7248	
RXN-10695	EC-6.2.1
SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN	EC-4.1.2.27
RXN-15131	
RXN66-13	
RXN3O-218	EC-1.14.19.20
RXN-12440	EC-1.11.1.11
2.3.1.180-RXN	EC-2.3.1.180
RXN-10741	EC-1.13.11.71
RXN-8185	EC-1.14.99
RXN-14904	
RXN-5841	EC-3.1.3.5
RXN-1882	EC-5.1.3.18
DAPASYN-RXN	EC-2.6.1.62
3.5.1.52-RXN	EC-3.5.1.52
RXN-12872	
RXN-13707	EC-1.14.13.70
R82-RXN	EC-5.3.2.5
METHYLACYLYLCOA-HYDROXY-RXN	EC-4.2.1.17
RXN-12365	EC-1.18.1.3
RXN-7985	
RXN-1623	EC-2.3.1.51
RXN0-5305	
RXN-8298	EC-1.14.19.23
RXN-14883	
RXN-11406	
RXN-10851	
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
MANNPISOM-RXN	EC-5.3.1.8
RXN1G-364	EC-1.1.1
RXN-2205	EC-2.6.1
RXN-15234	
RXN-7573	EC-1.14.13.114
PGLYCDEHYDROG-RXN	EC-1.1.1.95
1.5.1.20-RXN	EC-1.5.1.20
RXN-13616	EC-4.2.1.17
RXN4FS-9	EC-3.1.3
1.2.1.65-RXN	EC-1.2.1.65
RXN-15346	
RXN-8487	
3.4.13.9-RXN	EC-3.4.13.9
RXN-7740	EC-1.14.15.17
PEPTIDYLGLYCINE-MONOOXYGENASE-RXN	EC-1.14.17.3
RXN-2543	EC-5.5.1.24
RXN-10971	EC-2.7.4.21
RXN-9546	EC-1.3.1
RXN-11186	EC-1.14.13.113
FUMARATE-REDUCTASE-NADH-RXN	EC-1.3.1.6
RXN-14002	EC-3.6.1
RXN-9670	EC-2.3.1.23
MHPCHYDROL-RXN	EC-3.7.1.14
1.2.1.47-RXN	EC-1.2.1.47
DIACYLGLYKIN-RXN	EC-2.7.1.107
ISOPIPERITENOL-DEHYDROGENASE-RXN	EC-1.1.1.223
RXN-9669	EC-1.14.19.22
RXN-9809	EC-1.3
RXN-8350	EC-1.14.19.30
2.8.3.7-RXN	EC-2.8.3.22
RXN-13881	EC-5.3.3
RXN-14334	EC-1.13.11
RXN-16036	EC-1.14.19.23
RXNQT-4395	EC-3.1.3.4
RXN-8318	EC-1.14.19.43
PEPCARBOX-RXN	EC-4.1.1.31
RXN-16594	
