This report was generated on 03-Jan-2020  11:46:26.

* = already updated

Compounds


132 Compounds have structure differences between ChlamyCyc and MetaCyc.
 	ID	Name	Slot	ChlamyCyc Value	MetaCyc Value	
	PECTATE	a pectate	("poly(1,4-&alpha;-D-galacturonate)(n)" "(1,4-&alpha;-D-D-galactosyluronate)n" "(1,4-&alpha;-D-galacturonosyl)n" "Poly(1,4-&alpha;-D-galacturonate)(n)" "(1,4-&alpha;-D-Galacturonosyl)n" "1,4-&alpha;-D-galacturonide" "a pectic acid" "an &alpha;-D-polygalacturonic acid" "a poly(1,4-&alpha;-D-galacturonate)")	("poly(1,4-&alpha;-D-galacturonate)(n)" "(1,4-&alpha;-D-D-galactosyluronate)n" "1,4-&alpha;-D-galacturonide" "a pectic acid" "an &alpha;-D-polygalacturonic acid" "a poly(1,4-&alpha;-D-galacturonate)")	
	CELLULOSE	cellulose	("(1,4-&beta;-D-glucosyl)<sub>n</sub>" "(1,4-&beta;-D-glucosyl)(N)")	("(1,4-&beta;-D-glucosyl)<sub>n</sub>")	
	tRNAs-with-queuine	a queuosine<sup>34</sup> in tRNA	("a tRNA containing queuine" "a tRNA containing queuosine" "queuosine at position 34 of a tRNA")	("a tRNA containing queuosine" "queuosine at position 34 of a tRNA")	
	LuxE-long-chain-fatty-acyl-L-cysteine	a [LuxE]-<i>S</i>-(long-chain fatty acyl)-L-cysteine	("an [acyl-protein synthetase]-S-(long-chain fatty acyl)-L-cysteine" "an [acyl-protein synthetase]-S-long-chain fatty acyl-L-cysteine")	("an [acyl-protein synthetase]-S-(long-chain fatty acyl)-L-cysteine")	
	Carboxymethylcellulose	(carboxymethyl)cellulose	("cellulose gum" "CMC" "E466" "carboxymethylcellulose")	("cellulose gum" "CMC" "E466")	
	Hydroxy-Butyrates	2-hydroxybutanoate	("2-hydroxybutanoic acid" "a 2-hydroxybutyrate" "&alpha;-hydroxy-butyrate" "hydroxy butyric acid" "hydroxybutanoic acid")	("&alpha;-hydroxy-butyrate" "a 2-hydroxybutyrate" "2-hydroxybutanoic acid")	
	CPD-12086	a [PchE NRPS protein]-<i>S</i>-salicyl-<i>S</i>-L-cysteine	("[PchE]-salycilate-cysteine" "PchE-salycilate-cysteine")	("[PchE]-salycilate-cysteine")	
	PROCOLLAGEN-5-GALACTOSYLOXY-L-LYSINE	a [procollagen]-(5R)-5-<i>O</i>-(&beta;-D-galactosyloxy)-L-lysine	("5-(D-galactosyloxy)-L-lysine-procollagen" "procollagen 5-(D-galactosyloxy)-L-lysine")	NIL	
	Aryl-Aldehyde	an aromatic aldehyde	("an aromatic aldehyde" "an aryl aldehyde")	("an aryl aldehyde")	
	CPD-1084	perillyl aldehyde	("perillaldehyde" "Perillaldehyde")	("perillaldehyde")	
	B-Gal-14-NacGlc-R	a type 2 histo-blood group antigen precursor disaccharide	("a &beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "a &beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "a &beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "a &beta;-D-galactosyl-1,4-<i>N</i>-acetyl-D-glucosaminyl-R" "an <i>N</i>-acetyllactosaminyl-R" "&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "<i>N</i>-acetyllactosaminyl-R" "&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-D-glucosaminyl-R" "&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "a paragloboside")	("an <i>N</i>-acetyllactosaminyl-R" "a &beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "a &beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R")	
	NN-DIACETYLCHITOBIOSYLDIPHOSPHODOLICHO	<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1&rarr;4)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphosphodolichol	("an (<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol" "an {<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl}diphosphodolichol" "an {<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "an N,N'-diacetylchitobiosyldiphosphodolichol" "a chitobiosyldiphosphodolichol" "chitobiosyldiphosphodolichol" "N,N'-diacetylchitobiosyldiphosphodolichol" "{<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol")	("an {<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-&alpha;-D-glucosaminyl}diphosphodolichol" "an N,N'-diacetylchitobiosyldiphosphodolichol" "a chitobiosyldiphosphodolichol" "chitobiosyldiphosphodolichol" "N,N'-diacetylchitobiosyldiphosphodolichol" "an (<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")	
	L-1-phosphatidyl-inositols	a 1-phosphatidyl-1D-<i>myo</i>-inositol	("a 1-phosphatidyl-1D-<i>myo</i>-inositol" "1-phosphatidyl-myo-inositol" "a 1,2-diacyl-<i>sn</i>-glycero-3-phospho-(1D-myo-inositol)" "1-phosphatidyl-1D-<i>myo</i>-inositol" "a phosphatidylinositol" "a 1-phosphatidyl-D-myo-inositol" "a 1-phosphatidylinositol" "an L-1-phosphatidylinositol" "a phosphatidyl-inositol" "an L-1-phosphatidyl-inositol" "a phosphatidyl-1D-<i>myo</i>-inositol" "a (3-phosphatidyl)-1-D-inositol" "PtdIns")	("a 1,2-diacyl-<i>sn</i>-glycero-3-phospho-(1D-myo-inositol)" "1-phosphatidyl-1D-<i>myo</i>-inositol" "a phosphatidylinositol" "a 1-phosphatidyl-D-myo-inositol" "a 1-phosphatidylinositol" "an L-1-phosphatidylinositol" "a phosphatidyl-inositol" "an L-1-phosphatidyl-inositol" "a phosphatidyl-1D-<i>myo</i>-inositol" "a (3-phosphatidyl)-1-D-inositol" "PtdIns")	
	Type-IV-LTA	type IV lipoteichoic acid	("[(Chol-P-GalNAc)-(Chol-P-GalNAc)-Rib-ol-P-Glc-AATGal]<sub>n</sub>-Glc-DAG" "3-<i>O</i>-{{[6-<i>O</i>-(choline-phospho)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl]-(1&rarr;3)-[6-<i>O</i>-(choline-phospho)-<i>N</i>-acetyl-&beta;-D-galactosaminyl]-[6-<i>O</i>-(phosphoribitol)]-&beta;-D-glucosyl-(1&rarr;3)-2-acetamido-4-amino-2,4,6-trideoxy-&beta;-D-galactosyl}<sub>n</sub>-(1&rarr;3)-&alpha;-D-glucosyl}-1,2-diacylglycerol-" "[(Chol-P-GalNAc)-(Chol-P-GalNAc)-Rbo-P-Glc-AATGal]<sub>n</sub>-Glc-DAG")	("3-<i>O</i>-{{[6-<i>O</i>-(choline-phospho)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl]-(1&rarr;3)-[6-<i>O</i>-(choline-phospho)-<i>N</i>-acetyl-&beta;-D-galactosaminyl]-[6-<i>O</i>-(phosphoribitol)]-&beta;-D-glucosyl-(1&rarr;3)-2-acetamido-4-amino-2,4,6-trideoxy-&beta;-D-galactosyl}<sub>n</sub>-(1&rarr;3)-&alpha;-D-glucosyl}-1,2-diacylglycerol-" "[(Chol-P-GalNAc)-(Chol-P-GalNAc)-Rib-ol-P-Glc-AATGal]<sub>n</sub>-Glc-DAG")	
	I-antigens	an I antigen	("a &beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;3)-[&beta;-D-Gal-(11&rarr;4)-&beta;-D-GlcNAc-(1->6)]-&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-R" "an I histo-blood group antigen" "an <i>N</i>-acetyl-&beta;-D-galactosyl-(1,4)-[&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosyl-(1,6)]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,3)-&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "an <i>N</i>-acetyl-&beta;-D-galactosyl-1,4-[&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosyl-1,6]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3-&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-D-glucosaminyl-[glycoprotein]" "<i>N</i>-acetyl-&beta;-D-galactosyl-1,4-[&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosyl-1,6]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3-&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-D-glucosaminyl-[glycoprotein]" "<i>N</i>-acetyl-&beta;-D-galactosyl-(1,4)-[&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosyl-(1,6)]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,3)-&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "blood group I antigen")	("an <i>N</i>-acetyl-&beta;-D-galactosyl-1,4-[&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-&beta;-D-glucosyl-1,6]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3-&beta;-D-galactosyl-1,4-<i>N</i>-acetyl-D-glucosaminyl-[glycoprotein]" "an <i>N</i>-acetyl-&beta;-D-galactosyl-(1,4)-[&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosyl-(1,6)]-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1,3)-&beta;-D-galactosyl-(1,4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R" "an I histo-blood group antigen" "a &beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;3)-[&beta;-D-Gal-(11&rarr;4)-&beta;-D-GlcNAc-(1->6)]-&beta;-D-Gal-(1&rarr;4)-&beta;-D-GlcNAc-R")	
	Sesquiterpenes	a sesquiterpenoid	("a sesquiterpene" "Sesquiterpenes")	("a sesquiterpene")	
	Protein-N-terminal-L-Arginine	an N-terminal arginyl-[protein]	a [protein] N-terminal L-arginine	NIL	
	tRNA-4-thiouridine	a 4-thiouracil in tRNA	("a tRNA 4-thioracil" "a tRNA 4-thiouridine")	("a tRNA 4-thioracil")	
	ACYL-SN-GLYCEROL-3P	a 1-acyl-<i>sn</i>-glycerol 3-phosphate	("an acyl-<i>sn</i>-glycerol-3 phosphate" "a 2-lysophosphatidate" "an acyl-<i>sn</i>-glycerol-3P" "an acyl-<i>sn</i>-glycerol-3-phosphate")	("a 2-lysophosphatidate" "an acyl-<i>sn</i>-glycerol-3P" "an acyl-<i>sn</i>-glycerol-3 phosphate")	
	LYSO-ORNITHINE-LIPIDS	a lyso-ornithine lipid	("an <i>N</i><sup>&alpha;</sup>-[(3R)-3-hydroxyacyl]-L-ornithine" "an <i>N</i><sup>&alpha;</sup>-[(3R)-hydroxy-acyl]-L-ornithine")	("an <i>N</i><sup>&alpha;</sup>-[(3R)-3-hydroxyacyl]-L-ornithine")	
	Heparan-NAc-Glc-6S	[heparan sulfate]-&alpha;-<i>N</i>-acetyl-D-glucosamine 6-<i>O</i>-sulfate	("[heparan sulfate] 6-<i>O</i>-sulfate" "a heparin <i>N</i>-acetyl-glucosamine 6-<i>O</i>-sulfate" "a heparin <i>N</i>-acetyl-glucosamine-6-<i>O</i>-sulfate" "[heparan sulfate]-6-<i>O</i>-sulfate")	("a heparin <i>N</i>-acetyl-glucosamine 6-<i>O</i>-sulfate" "[heparan sulfate] 6-<i>O</i>-sulfate")	
	Oxo-glutarate-dehydrogenase-lipoyl	a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine	("an enzyme <i>N<sup>6</sup></i>-(lipoyl)lysine" "enzyme <i>N<sup>6</sup></i>-(lipoyl)lysine")	("an enzyme <i>N<sup>6</sup></i>-(lipoyl)lysine")	
	23S-rRNA-Pseudourdines	a pseudouridine in 23S rRNA	("a 23S  rRNA pseudouridine" "a pseudouridine in 23S  rRNA")	("a 23S  rRNA pseudouridine")	
	Heparan-sulfate-D-GlcNS	a [heparan sulfate]-&alpha;-D-<i>N</i>-sulfoglucosamine	("a [heparan sulfate]-GlcNS" "a [heparan sulfate]-<i>N</i>-sulfoglucosamine" "a heparin &alpha;-D-<i>N</i>-sulfoglucosamine" "[heparan sulfate]-GlcNS")	("a [heparan sulfate]-<i>N</i>-sulfoglucosamine" "a heparin &alpha;-D-<i>N</i>-sulfoglucosamine" "a [heparan sulfate]-GlcNS")	
	5-L-GLUTAMYL-L-AMINO-ACID	an &alpha;-(&gamma;-L-glutamyl)-L-amino acid	("a 5-L-glutamyl-L-amino acid" "an L-&gamma;-glutamyl-L-amino acid")	("a 5-L-glutamyl-L-amino acid")	
	Heparan-NAc-glucosaminide	<i>N</i>-acetyl-&alpha;-D-glucosaminide-[heparan sulfate]	("N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-[proteoglycan]" "N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->4)-N-acetyl-&alpha;-D-glucosaminyl-[proteoglycan]" "N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->4)-N-acetyl-&alpha;-D-glucosaminylproteoglycan" "N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucuronosylproteoglycan" "<i>N</i>-acetyl-a-D-glucosaminide-[heparan sulfate]")	("N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->4)-N-acetyl-&alpha;-D-glucosaminyl-[proteoglycan]" "N-acetyl-&alpha;-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-[proteoglycan]" "<i>N</i>-acetyl-a-D-glucosaminide-[heparan sulfate]")	
	Guanine15-in-tRNA-with-GUN-anticodon	a guanine<sup>15</sup> in archaeal tRNA	("guanine at position 15 of an archaeal tRNA" "guanine<sup>15</sup> in archaeal tRNA" "guanine<sup>15</sup> of an archaeal tRNA")	("guanine at position 15 of an archaeal tRNA")	
	Protein-N-methyl-histidines	a [protein] <i>N<sup>&tau;</sup></i>-methyl-histidine	("a [protein] <i>N<sup>3</sup></i>-methyl-histidine" "a [protein] 3-methylhistidine" "a [protein] 3-<i>N</i>-methylhistidine" "a protein 3-<i>N</i>-methylhistidine" "a protein 3-methylhistidine" "protein <i>N<sup>3</sup></i>-methyl-histidine")	("a [protein] 3-<i>N</i>-methylhistidine" "a [protein] 3-methylhistidine" "a [protein] <i>N<sup>3</sup></i>-methyl-histidine")	
	Long-Chain-Fatty-Acids	a long-chain fatty acid	("LCFA" "Long-Chain-Fatty-Acids")	("LCFA")	
	CIS-DELTA3-ENOYL-COA	a (3Z)-alk-3-enoyl-CoA	("cis-&Delta;<SUP>3</SUP>-enoyl-CoA" "a <i>cis</i>-&Delta;<SUP>3</SUP>-enoyl-CoA" "a <i>cis</i>-3-enoyl-CoA")	("a <i>cis</i>-&Delta;<SUP>3</SUP>-enoyl-CoA" "a <i>cis</i>-3-enoyl-CoA")	
	tRNA-pseudouridine-54	a pseudouridine<sup>54</sup> in tRNA	("a tRNA pseudouridine<sup>54</sup>" "a tRNA containing pseudouridine at position 54" "pseudouridine<sup>54</sup> in tRNA")	("a tRNA containing pseudouridine at position 54" "a tRNA pseudouridine<sup>54</sup>")	
	Nucleoside-Monophosphates	a nucleoside 5'-monophosphate	("a nucleoside-5'-phosphate" "mononucleotide" "a nucleoside 5'-phosphate" "NMP" "a nucleoside monophosphate")	("mononucleotide" "a nucleoside 5'-phosphate" "NMP" "a nucleoside monophosphate")	
	2-Hydroxy-Fatty-Acids	a 2-hydroxy fatty acid	("an &alpha;-hydroxy fatty acid" "an &alpha;-OH fatty acid" "an alpha-Hydroxy fatty acid" "a 2-OH fatty acid" "2-OH fatty acid" "alpha-Hydroxy fatty acid" "&alpha;-OH fatty acid" "&alpha;-hydroxy fatty acid")	("a 2-OH fatty acid" "an alpha-Hydroxy fatty acid" "an &alpha;-OH fatty acid" "an &alpha;-hydroxy fatty acid")	
	18S-rRNA-adenine1779-adenine1780	an adenine<sup>1779</sup>/adenine<sup>1780</sup> in 18S rRNA	("an 18S rRNA adenine<sup>1779</sup>/adenine<sup>1780</sup>" "adenine<sup>1779</sup>/adenine<sup>1780</sup> in 18S rRNA")	("an 18S rRNA adenine<sup>1779</sup>/adenine<sup>1780</sup>")	
	Deoxy-Ribonucleoside-Triphosphates	a 2'-deoxyribonucleoside 5'-triphosphate	("a deoxyribonucleoside triphosphate" "a deoxynucleoside triphosphate" "a 2'-deoxyribonucleoside triphosphate")	("a deoxynucleoside triphosphate" "a deoxyribonucleoside triphosphate" "a dNTP")	
	tRNA-PreQ0	preQ<sub>0</sub> at position 15 of an archaeal tRNA	("preQ<sub>0</sub><sup>15</sup> in archaeal tRNA" "7-cyano-7-deazaguanine<sup>15</sup> in archaeal tRNA" "7-cyano-7-carbaguanine<sup>15</sup> in archaeal tRNA" "preQ<sub>0</sub> at position 15 in archaeal tRNA" "7-cyano-7-carbaguanine at position 15 in archaeal tRNA" "7-cyano-7-deazaguanine at position 15 in archaeal tRNA" "7-cyano-7-deazaguanine at position 15 of an archaeal tRNA" "7-cyano-7-carbaguanine at position 15 of an archaeal tRNA" "preQ<sub>0</sub> at position 15 of an archaeal tRNA" "7-cyano-7-carbaguanine<sup>15</sup> of an archaeal tRNA" "7-cyano-7-deazaguanine<sup>15</sup> of an archaeal tRNA" "preQ<sub>0</sub><sup>15</sup> of an archaeal tRNA")	("7-cyano-7-deazaguanine at position 15 in archaeal tRNA" "7-cyano-7-carbaguanine at position 15 in archaeal tRNA" "preQ<sub>0</sub> at position 15 in archaeal tRNA" "7-cyano-7-carbaguanine<sup>15</sup> in archaeal tRNA" "7-cyano-7-deazaguanine<sup>15</sup> in archaeal tRNA" "preQ<sub>0</sub><sup>15</sup> in archaeal tRNA")	
	D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	D-<i>glycero</i>-D-<i>manno</i>-heptose 7-phosphate	("D-&alpha;,&beta;-D-heptose 7-phosphate" "D-glycero-D-heptose 7-P" "D-<i>glycero</i>-&alpha;,&beta;-D-<i>manno</i>-heptose 7-P" "D-&alpha;,&beta;-D-heptose-7-phosphate")	("D-glycero-D-heptose 7-P" "D-<i>glycero</i>-&alpha;,&beta;-D-<i>manno</i>-heptose 7-P" "D-&alpha;,&beta;-D-heptose 7-phosphate")	
	Galacturonans	a galacturonan	("a 1,4-&alpha;-D-D-galactosyluronate" "a 1,4-&alpha;-poly-D-galacturonate" "a 1,4-&alpha;-D-galacturonosyl")	("a 1,4-&alpha;-poly-D-galacturonate" "a 1,4-&alpha;-D-D-galactosyluronate")	
	omega-methylsulfinylalkylglucosinolate	an &omega;-(methylsulfinyl)alkyl-glucosinolate	an &omega;-(methylsulfinyl)alkyl glucosinolate	NIL	
	Heparan-sulfate-GlcA2S	a [heparan-sulfate]-2-<i>O</i>-sulfo-&beta;-D-glucuronate	heparosan-2-<i>O</i>-sulfo-&beta;-D-glucuronate	NIL	
	tRNA-with-uridine-54	a uridine<sup>54</sup> in tRNA	("a tRNA uridine<sup>54</sup>" "a tRNA containing uridine at position 54" "uridine<sup>54</sup> in tRNA")	("a tRNA containing uridine at position 54" "a tRNA uridine<sup>54</sup>")	
	Heparin-NAcGlc-3S	[heparin]-&alpha;-<i>N</i>-acetyl-D-glucosamine 3-<i>O</i>-sulfate	("a heparin <i>N</i>-acetylglucosamine 3-<i>O</i>-sulfate" "a heparin <i>N</i>-acetylglucosamine-3-<i>O</i>-sulfate")	("a heparin <i>N</i>-acetylglucosamine 3-<i>O</i>-sulfate")	
	Donor-H2	a reduced unknown electron carrier	("a reduced electron donor" "a reduced electron acceptor" "A(H2)" "donor" "reduced electron acceptor" "reduced acceptor" "a reduced acceptor" "a donor")	("a reduced unknown electron donor" "A(H2)" "a reduced unknown electron acceptor")	
	BCAA-dehydrogenase-2MB-DH-lipoyl	an [<i>apo</i> BCAA dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-[2-methylbutanoyl]dihydrolipoyl-L-lysine	[enzyme] <i>N<sup>6</sup></i>-(<i>S</i>-[2-methylbutanoyl]dihydrolipoyl)lysine	NIL	
	2-3-CARBOXY-3-AMINOPROPYL-L-HISTIDINE	a 2-[(3S)-3-amino-3-carboxypropyl]-L-histidine-[translation elongation factor 2]	("a 2-(3-carboxy-3-aminopropyl)-L-histidine in eEF-2" "diphthine intermediate in eEF-2" "2-amino-4-[[4-(2-amino-2-carboxy-ethyl)-1H-imidazol-2-yl]] butanoic acid" "2-(3-carboxy-3-aminopropyl)-L-histidine")	("diphthine intermediate in eEF-2" "a 2-(3-carboxy-3-aminopropyl)-L-histidine in eEF-2")	
	DNA-Adjacent-Pyrimidines	two adjacent pyrimidine nucleosides in DNA	("2 pyrimidine residues (in DNA)" "a DNA pair of adjacent pyrimidines" "DNA pair of adjacent pyrimidines" "PYRIMIDINE RESIDUES (IN DNA)")	("2 pyrimidine residues (in DNA)" "a DNA pair of adjacent pyrimidines")	
	CPD-6321	a [procollagen] <i>trans</i> 4-hyroxy-L-proline	("a [procollagen]-(2S,4R)-4-hydroxy-L-proline" "a [procollagen]-4-hyroxy-L-proline")	("a [procollagen]-(2S,4R)-4-hydroxy-L-proline")	
	D-Rhamnose	D-rhamnose	D-rhamnopyranose	NIL	
	tRNA-containing-5Me-uridine	a 5-methyluracil in tRNA	("a tRNA containing 5-methyluracil" "a tRNA containing 5 methyluridine")	("a tRNA containing 5-methyluracil")	
	Protein-Phosphoserines	a [protein] L-serine phosphate	("a [protein] L-phosphoserine" "a protein L-phosphoserine")	("a [protein] L-phosphoserine")	
	L-1-PHOSPHATIDYL-ETHANOLAMINE	an L-1-phosphatidylethanolamine	("an <i>O</i>-(1-&beta;-acyl-2-acyl-<i>sn</i>-glycero-3-phospho)-ethanolamine" "a phosphatidylethanolamine" "a glycerophosphoethanolamine" "glycerophosphoethanolamine" "Phosphatidylethanolamine (ecoli)" "O-(1-&beta;-acyl-2-acyl-sn-glycero-3-phospho)-ethanolamine" "phosphatidylethanolamine" "1-phosphatidylethanolamine" "L-1-phosphotidylethanolamine" "a phosphatidylethenolamine" "<i>O</i>-(1-&beta;-acyl-2-acyl-<i>sn</i>-glycero-3-phospho)-ethanolamine" "PtdEtn" "a 1-phosphatidylethanolamine" "an L-1-phosphotidylethanolamine")	("a glycerophosphoethanolamine" "a phosphatidylethanolamine" "a 1-phosphatidylethanolamine" "an L-1-phosphotidylethanolamine" "a phosphatidylethenolamine" "an <i>O</i>-(1-&beta;-acyl-2-acyl-<i>sn</i>-glycero-3-phospho)-ethanolamine" "PtdEtn")	
	Protein-tauphospho-L-histidines	a [protein]-<i>N<sup>&tau;</sup></i>-phospho-L-histidine	a protein N-phospho-L-histidine	NIL	
	N-tetrasaccharide-protein-H-volcanii	an [<i>H. volcanii</i> glycoprotein]-L-asparagine-[tetrasaccharide]	("methyl-<i>O</i>-4-&beta;-D-GlcA-(1&rarr;4)-&alpha;-D-GalA-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;4)-&beta;-D-Glc-Asn-[protein]" "methyl-<i>O</i>-4-&beta;-D-GlcA-(1&rarr;3)-&alpha;-D-GalA-(1&rarr;3)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Glc-Asn-[protein]")	("methyl-<i>O</i>-4-&beta;-D-GlcA-(1&rarr;4)-&alpha;-D-GalA-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;4)-&beta;-D-Glc-Asn-[protein]")	
	L-rhamnose	L-rhamnose	("L-mannomethylose" "6-deoxy-L-mannose" "L-rhamnopyranose" "6-Deoxy-L-mannose" "L-Mannomethylose")	("6-deoxy-L-mannose" "L-mannomethylose")	
	Man8GlcNAc2-protein-A123B23	Man<sub>8</sub>GlcNAc<sub>2</sub>-[protein] (isomer 8A<sub>1,2,3</sub>B<sub>2,3</sub>)	("an &alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc-<i>N</i>-Asn-[protein]" "an &alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc-1-L-asparaginyl-[protein]" "a [(mannosyl)<sub>8</sub>(<i>N</i>-acetylglucosaminyl)<sub>2</sub>]-L-asparaginyl-[protein] (isomer 8A<sub>1,2,3</sub>B<sub>2,3</sub>)")	("an &alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc-<i>N</i>-Asn-[protein]" "a [(mannosyl)<sub>8</sub>(<i>N</i>-acetylglucosaminyl)<sub>2</sub>]-L-asparaginyl-[protein] (isomer 8A<sub>1,2,3</sub>B<sub>2,3</sub>)")	
	TETRADEHYDROACYL-COA	a (2E,4E)-alka-2,4-dienoyl-CoA	("a (2E,4E)-dienoyl-CoA" "a trans-2,trans-4-dienoyl-CoA" "trans,trans-2,3,4,5-tetradehydroacyl-CoA" "RCH=CHCH=CHCO-CoA" "a trans,trans-&Delta;<SUP>2</SUP>-&Delta;<SUP>4</SUP>-dienoyl-CoA")	("a trans-2,trans-4-dienoyl-CoA" "a trans,trans-&Delta;<SUP>2</SUP>-&Delta;<SUP>4</SUP>-dienoyl-CoA" "a (2E,4E)-dienoyl-CoA")	
	Chondroitin-D-glucuronates	a [chondroitin] containing &beta;-D-glucuronate	("a [dermatan] containing &beta;-D-glucuronate" "[dermatan]-&beta;-D-glucuronate")	("a [dermatan] containing &beta;-D-glucuronate")	
	Octanoylated-domains	a [lipoyl-carrier protein] <i>N<sup>6</sup></i>-octanoyl-L-lysine	("an octanoylated protein lipoyl-domain" "protein N6-(octanoyl)lysine")	("an octanoylated protein lipoyl-domain")	
	Glucosyl-acyl-sphinganines	a &beta;-D-glucosyl-<i>N</i>-acylsphinganine	("an <i>N</i>-acyl-D-glucosyl-sphinganine" "a glucosylceramide (I)" "an <i>N</i>-acyl-&beta;-D-glucosyl-sphinganine" "a dihydroglucosylceramide")	("a glucosylceramide (I)" "an <i>N</i>-acyl-&beta;-D-glucosyl-sphinganine" "a dihydroglucosylceramide" "GlcCer")	
	Muricholates	a muricholate	("a muricholic acid" "muricholic acid")	("a muricholic acid")	
